nm,PVK2_5mM,PVK05mM,lactateD2_5mM,lactateD05mM,FeCl11mM,lactateD10mM,PVK10mM,PVK5.0mM,lactateD5mM,lactateD1mM,lactateD01mM,PVK1mM,PVK01mM
670.0123901,98.95020294,99.06879425,99.20184326,99.1084137,99.25743103,99.15101624,98.50234222,98.71448517,99.32208252,99.32025909,99.24323273,98.72187042,99.01196289
668.9915771,98.89267731,99.04533386,99.18819427,99.10137939,99.2545166,99.03608704,98.48452759,98.65138245,99.3307724,99.16955566,99.15000153,98.70023346,98.88425446
667.9703979,99.04730988,99.14482117,99.36743927,99.23527527,99.24450684,99.17459869,98.49555206,98.85906219,99.27629852,99.41940308,99.2654953,98.80688477,99.139534
666.9488525,98.91953278,99.1383667,99.26554871,99.08926392,99.25046539,99.06512451,98.47398376,98.7489624,99.25505829,99.28178406,99.28334045,98.86372375,99.09270477
665.927063,98.90473175,99.05836487,99.08647919,99.045578,99.18670654,99.15172577,98.35571289,98.68175507,99.22353363,99.22109985,99.2647171,98.68386078,98.96686554
665.0509644,99.01517487,99.16884613,99.28513336,99.13898468,99.33184052,99.18704987,98.40273285,98.78200531,99.20404816,99.30969238,99.23150635,98.68777466,98.93217468
664.0285645,98.81781769,99.01173401,99.10742188,99.04886627,99.13092041,98.98540497,98.23729706,98.63072205,99.21795654,99.2618103,99.28233337,98.81082916,98.92808533
663.0058594,98.85865784,99.07119751,99.17243958,99.08913422,99.22799683,99.03481293,98.30953217,98.67897797,99.19129944,99.32660675,99.22245789,98.86402893,98.98660278
661.9828491,98.77915192,99.01758575,99.14481354,99.02783203,99.11546326,99.02505493,98.28874207,98.56288147,99.14352417,99.24472046,99.2150116,98.81347656,99.03708649
660.9595337,98.85674286,99.01830292,99.17957306,99.09555817,99.12734222,99.054245,98.19894409,98.53435516,99.14434814,99.35511017,99.34710693,98.80143738,99.07521057
659.9359131,98.74672699,98.98548126,99.09320831,99.00292969,99.15171051,98.97135162,98.14822388,98.50767517,99.130867,99.42653656,99.31716919,98.87417603,99.10556793
659.0582275,98.78804779,99.07639313,99.17124939,99.06547546,99.24769592,99.03567505,98.24127197,98.56369781,99.23290253,99.40617371,99.28287506,98.85677338,99.11597443
658.0340576,98.7978363,99.08653259,99.14933777,99.11178589,99.1727066,99.02805328,98.15955353,98.50091553,99.12631226,99.39020538,99.32130432,98.780159,99.11048126
657.0095215,98.84767151,99.18536377,99.18628693,99.16083527,99.16805267,99.01320648,98.25233459,98.57537842,99.09218597,99.30265808,99.35279083,98.78104401,99.04548645
655.9846802,98.78023529,99.03370667,99.09017944,99.10555267,99.17563629,99.05072784,98.19060516,98.53857422,99.15434265,99.24944305,99.23209381,98.73477936,98.95831299
654.9595337,98.79039764,99.02210999,99.11299133,99.01386261,99.11405182,98.99494934,98.04522705,98.40907288,99.13388824,99.35227203,99.23110962,98.72242737,99.10540771
653.934082,98.76435089,99.0550766,99.10137939,99.07072449,99.18185425,98.97460938,98.05568695,98.49146271,99.17576599,99.16919708,99.20240021,98.62233734,98.98447418
653.0548706,98.79245758,99.06477356,99.24324036,99.1155014,99.25235748,99.06230164,98.14918518,98.48855591,99.24005127,99.28495026,99.30209351,98.72580719,99.05330658
652.0288086,98.83319092,99.06985474,99.1502533,99.18686676,99.18286896,99.01543427,98.06478882,98.521698,99.22036743,99.18720245,99.20110321,98.72771454,98.99986267
651.0025024,98.71289825,99.03180695,99.17017365,99.13941956,99.24066925,99.10696411,98.03944397,98.47805786,99.13805389,99.07484436,99.18347168,98.70027924,98.96837616
649.9758301,98.64957428,98.88909149,98.99829865,98.95638275,99.08171844,98.88506317,97.89606476,98.29242706,99.04216766,99.27249146,99.24265289,98.693573,99.07455444
648.9488525,98.72634125,98.960289,99.06937408,99.01878357,99.14953613,99.0175705,97.91101837,98.39833832,99.17444611,99.27220154,99.33361053,98.62015533,99.04383087
648.0683594,98.68682861,98.97729492,99.13571167,99.01887512,99.17705536,98.99047852,97.95894623,98.35796356,99.16917419,99.30381012,99.23904419,98.68127441,99.06835175
647.0408936,98.69425201,99.09277344,99.11233521,99.12847137,99.25735474,99.07174683,97.99169159,98.40852356,99.23203278,99.27165222,99.2727356,98.68115997,99.08798981
